row_id,age_years,employment_length_years,annual_income_eur,loan_amount_eur,loan_duration_months,num_past_due,num_open_loans,credit_history_length_years,savings_balance_eur,checking_balance_eur,installment_rate_pct,debt_to_income_ratio,has_guarantor,housing_status,purpose,marital_status,education_level,num_dependents,has_phone,foreign_worker,commute_distance_km,digital_literacy_score,smartphone_usage_hours,online_purchase_count_last_month,late_night_activity_ratio,cash_withdrawal_ratio,returned_credit
12,29,8.2,30847,3718,24,0,2,0.0,3670,2353,7.74,0.49,0,mortgage,furniture,widowed,secondary,0,1,0,8.1,47.8,3.3,3,0.16,0.74,1
13,37,4.6,54671,21270,36,0,0,10.0,10546,978,6.65,0.26,0,mortgage,car,single,secondary,1,1,1,18.9,38.4,3.7,3,0.12,0.68,1
14,22,16.2,21318,19549,24,0,5,0.3,1977,2505,6.14,0.71,0,own,car,single,secondary,0,0,0,14.2,77.8,4.8,3,0.24,0.45,0
15,39,0.1,7642,8194,24,2,3,17.2,0,-1253,11.97,0.74,0,mortgage,education,single,tertiary,1,1,0,8.8,79.5,6.9,9,0.15,0.91,0
16,22,2.6,32402,24090,48,0,2,0.0,4509,-449,9.48,0.73,0,own,home_improvement,divorced,tertiary,2,1,0,40.3,73.8,1.5,4,0.43,0.23,1
17,37,12.6,15528,5235,36,0,2,15.1,48215,1025,16.14,0.47,0,rent,furniture,single,secondary,2,0,0,32.7,71.5,3.6,1,0.23,0.8,1
18,41,9.0,42446,18829,60,0,2,15.2,9477,16,8.97,0.76,0,rent,home_improvement,single,secondary,1,1,0,7.9,73.8,4.4,2,0.33,0.58,1
19,38,18.1,21503,3558,36,0,2,9.4,0,1470,20.62,0.25,0,mortgage,home_improvement,married,secondary,2,1,0,11.0,73.0,3.3,6,0.14,0.72,1
20,50,0.4,59814,24877,12,1,1,21.7,6678,2026,13.83,0.34,1,own,car,married,tertiary,0,1,0,7.8,54.2,10.6,1,0.55,0.33,1
21,26,0.1,91699,6854,36,0,3,6.5,386,-1061,21.14,0.71,0,own,home_improvement,single,secondary,1,0,0,2.2,67.8,3.0,5,0.38,0.64,1
22,30,0.7,34169,7154,12,0,2,12.9,846,1377,16.82,0.35,1,own,car,divorced,tertiary,1,1,0,9.7,82.0,6.9,3,0.23,0.83,1
23,33,2.6,34342,25169,24,0,3,10.9,8811,1870,7.99,0.63,0,rent,business,married,tertiary,0,1,0,1.9,86.9,1.1,6,0.1,0.6,1
24,22,11.1,21714,16940,60,1,5,0.0,0,-757,20.36,0.31,0,own,home_improvement,married,primary,0,1,0,6.5,36.4,3.1,3,0.49,0.38,0
25,45,17.0,57688,15901,48,2,1,20.9,1208,310,9.97,0.79,0,own,home_improvement,married,tertiary,1,1,1,10.7,46.6,3.2,6,0.1,0.33,1
26,50,4.0,18133,2316,36,0,2,28.7,937,522,3.63,0.5,0,mortgage,home_improvement,married,tertiary,0,1,0,12.6,45.3,5.5,3,0.34,0.44,1
27,31,5.0,35159,8889,12,2,2,3.9,3388,271,17.6,0.64,0,own,other,single,secondary,1,1,0,10.7,93.0,1.3,4,0.27,0.37,1
28,34,2.5,31028,50307,36,0,1,16.7,6133,-724,19.08,0.72,0,rent,car,married,tertiary,1,1,0,3.6,72.4,3.8,1,0.1,0.25,0
29,54,3.7,14777,10569,24,0,5,31.7,5317,2956,8.69,0.43,0,own,home_improvement,single,tertiary,1,1,0,14.2,51.5,3.4,4,0.41,0.81,1
30,49,0.9,54279,9643,24,1,1,28.6,8960,593,15.17,0.47,0,mortgage,home_improvement,married,secondary,1,0,0,8.3,66.0,1.4,4,0.31,0.34,1
31,37,19.4,29350,5759,36,2,2,6.9,0,-1579,17.73,0.4,0,own,car,single,secondary,2,1,0,16.0,78.9,9.0,1,0.28,0.75,1
32,54,1.2,140288,5459,36,0,6,32.1,3503,-1238,18.18,0.63,0,own,home_improvement,married,tertiary,2,1,0,10.3,75.7,4.3,3,0.42,0.49,1
33,21,3.8,34441,9225,12,1,5,0.9,4044,401,8.32,0.52,0,mortgage,home_improvement,married,primary,3,0,0,19.1,39.8,2.2,5,0.45,0.22,1
34,36,1.3,36576,5993,60,2,7,15.6,0,-83,9.19,0.7,0,rent,other,single,tertiary,0,1,0,6.4,51.1,1.9,5,0.13,0.62,0
35,43,5.5,9490,6633,36,1,2,16.4,0,191,11.45,0.37,0,rent,business,married,secondary,0,1,1,2.2,52.0,4.4,3,0.07,0.36,1
36,42,3.1,11081,14299,12,1,4,24.7,20652,-190,19.13,0.56,0,own,business,married,secondary,0,0,0,22.3,70.3,2.7,5,0.38,0.69,0
37,50,7.2,15321,9690,48,3,2,23.9,2493,2209,9.23,0.53,0,rent,home_improvement,single,secondary,0,1,0,13.4,63.8,2.6,7,0.24,0.65,1
38,25,0.9,15704,22688,24,0,3,4.1,1511,-85,4.94,0.62,0,mortgage,car,married,secondary,0,1,0,8.4,43.3,1.7,1,0.31,0.75,0
39,30,24.4,25846,13198,24,0,0,8.9,0,-548,22.6,0.61,0,own,education,single,secondary,0,1,0,2.7,64.1,2.2,2,0.56,0.53,1
40,34,6.5,21938,4078,60,0,1,6.7,19419,2083,10.32,0.4,0,mortgage,car,single,primary,2,1,0,16.9,67.0,4.0,4,0.31,0.6,1
41,44,4.2,108796,4929,12,0,2,18.8,5701,2105,22.44,0.59,0,own,business,single,secondary,0,1,1,14.6,79.5,5.6,3,0.19,0.36,1
42,31,2.9,43925,12548,36,0,3,9.7,3576,116,17.25,0.84,0,mortgage,other,single,primary,0,1,0,33.2,43.1,3.0,1,0.32,0.56,1
43,52,0.2,33919,15774,24,0,2,23.4,3180,807,12.4,0.58,0,mortgage,business,single,secondary,0,1,0,6.4,75.7,4.9,5,0.22,0.4,1
44,20,0.3,16905,21079,24,0,3,0.6,56238,808,16.13,0.93,0,own,car,married,secondary,1,0,1,10.3,41.2,5.3,2,0.33,0.71,0
45,43,0.3,11294,11742,48,0,4,10.0,13402,1225,18.17,0.81,0,mortgage,other,single,secondary,1,1,0,16.9,49.8,1.9,6,0.37,0.63,0
46,52,8.6,13781,11299,36,1,1,24.1,39278,-273,8.81,0.7,0,rent,education,single,secondary,2,1,0,9.8,77.0,7.8,6,0.31,0.82,0
47,26,17.8,39141,4192,36,0,4,10.0,5636,731,3.86,0.38,0,mortgage,medical,married,primary,2,1,0,1.9,41.6,4.3,5,0.25,0.39,1
48,48,2.2,96415,2984,36,0,2,26.4,4276,-287,7.32,0.9,1,own,medical,single,primary,2,0,1,5.1,54.7,1.3,5,0.11,0.28,0
49,48,0.8,58641,17258,36,4,0,15.0,9033,1082,8.36,0.37,1,rent,medical,single,primary,3,1,0,5.7,54.8,2.1,2,0.27,0.34,1
50,56,21.0,54228,11778,60,1,2,35.8,14330,-712,15.32,0.78,0,rent,vacation,married,secondary,2,1,0,6.4,72.5,3.4,7,0.3,0.61,0
51,27,16.5,33546,5700,48,0,2,0.0,46911,1136,20.17,0.69,0,mortgage,car,divorced,secondary,1,1,0,10.1,68.1,2.9,5,0.36,0.31,1
52,26,16.1,57895,14813,24,0,4,1.0,0,2219,10.94,0.28,0,rent,car,married,secondary,2,1,0,20.7,48.5,1.4,4,0.16,0.36,1
53,40,3.6,14267,20233,48,3,3,23.2,0,-779,12.93,0.57,0,mortgage,business,single,tertiary,2,1,0,4.1,50.3,2.0,5,0.35,0.48,0
54,48,1.2,112913,8354,48,0,1,25.4,0,2016,7.12,0.93,0,own,business,married,secondary,1,1,0,3.1,62.6,1.9,4,0.28,0.28,1
55,38,0.3,26768,6934,12,0,2,21.9,14728,-974,4.66,0.39,0,own,furniture,single,primary,2,1,0,29.2,79.3,2.9,2,0.44,0.45,1
56,54,4.9,15272,5904,24,1,3,31.6,2625,2771,15.1,0.28,1,own,medical,married,secondary,0,1,0,12.8,57.7,2.1,5,0.12,0.39,1
57,36,0.1,53790,8047,24,0,4,10.4,2772,3412,9.6,0.28,0,rent,vacation,single,secondary,3,1,0,17.6,34.7,2.8,9,0.17,0.6,1
58,32,12.8,44562,25048,12,1,0,14.5,5771,-297,11.33,0.66,1,own,furniture,single,tertiary,0,0,0,14.5,80.4,3.3,4,0.21,0.68,0
59,26,10.2,21945,43975,24,0,3,0.0,2171,1416,12.99,0.7,0,mortgage,car,married,secondary,0,1,0,18.6,44.3,3.1,2,0.31,0.74,0
60,23,8.1,31659,7321,12,0,5,1.4,25917,-1925,6.29,0.33,0,own,other,married,primary,1,1,0,18.0,78.1,1.9,0,0.27,0.63,1
61,31,2.1,18256,17350,24,0,2,5.0,0,1009,11.56,0.64,0,rent,education,married,secondary,1,1,0,10.0,73.7,4.2,8,0.11,0.65,1
62,48,4.9,13010,6429,24,0,4,23.4,0,1635,22.03,0.93,0,own,furniture,divorced,secondary,0,1,0,9.5,44.0,3.2,4,0.41,0.52,0
63,45,1.4,29616,2274,12,1,1,27.5,0,-465,9.23,0.77,0,mortgage,furniture,single,tertiary,0,1,0,11.7,36.4,2.1,7,0.4,0.3,1
64,41,1.5,39410,28205,36,0,2,16.8,2019,718,8.63,0.59,0,rent,home_improvement,married,secondary,1,0,0,11.6,36.5,4.3,6,0.13,0.29,1
65,54,5.4,87885,13687,48,2,3,31.2,2804,735,6.54,0.83,0,mortgage,education,divorced,secondary,0,0,1,11.9,56.4,2.9,2,0.49,0.68,1
66,44,5.2,43321,23527,12,2,1,21.8,2495,259,11.6,0.36,0,own,education,divorced,primary,1,1,0,21.9,54.1,2.0,5,0.15,0.52,0
67,39,3.9,36745,12930,12,0,2,15.5,6619,-887,18.51,0.5,0,rent,vacation,married,secondary,0,1,1,2.0,27.4,5.6,9,0.51,0.34,1
68,34,15.7,8834,29754,36,0,2,5.5,22095,140,11.46,0.67,0,mortgage,car,married,secondary,0,0,1,2.3,65.5,4.3,1,0.08,0.69,0
69,39,1.0,27094,16118,12,2,6,15.9,49865,1222,18.48,0.51,0,own,car,single,primary,0,1,0,6.9,43.1,2.9,9,0.23,0.75,1
70,51,12.3,14962,12213,48,3,5,28.9,0,1150,23.76,0.84,0,mortgage,furniture,single,secondary,2,1,0,16.3,68.1,2.6,3,0.47,0.61,0
71,34,4.4,13194,48791,12,1,1,13.5,4755,-392,13.6,0.29,0,own,vacation,single,secondary,0,1,1,13.1,93.3,9.0,4,0.63,0.76,0
72,39,4.1,42900,11185,60,1,4,14.9,0,-1401,15.8,0.46,0,mortgage,vacation,married,secondary,2,1,0,9.8,53.3,3.2,4,0.27,0.4,0
73,27,2.5,39782,3792,60,0,0,1.4,2820,2678,10.4,0.52,0,mortgage,car,single,secondary,0,1,0,2.0,92.2,5.4,3,0.05,0.42,1
74,25,8.4,20112,6296,24,0,1,0.7,838,1453,5.14,0.98,0,mortgage,home_improvement,single,tertiary,1,1,0,34.4,71.4,12.0,2,0.13,0.41,0
75,36,6.6,35383,3718,12,0,1,17.6,42087,2363,6.05,0.55,0,own,vacation,married,secondary,1,1,0,6.5,63.6,5.8,6,0.57,0.49,1
76,44,1.7,12583,10566,48,0,4,21.2,4763,-917,8.48,0.27,0,own,car,single,secondary,1,1,0,20.7,57.2,4.4,2,0.25,0.61,0
77,28,6.5,32584,10217,12,0,2,9.8,0,1654,25.95,0.39,0,mortgage,home_improvement,single,tertiary,2,1,0,12.2,69.6,3.0,3,0.27,0.66,1
78,52,1.6,27261,5868,24,0,1,35.3,2148,1520,5.14,0.73,0,rent,other,married,secondary,0,1,0,23.7,76.3,2.3,1,0.15,0.42,0
79,54,4.4,25959,12078,12,1,2,32.9,1380,580,10.59,0.49,0,own,home_improvement,married,secondary,0,1,0,14.9,81.9,3.3,2,0.4,0.6,1
80,53,6.6,54802,38129,36,1,0,26.6,2666,-136,22.65,0.46,0,rent,business,single,tertiary,2,1,0,11.1,47.2,3.8,4,0.16,0.2,1
81,47,6.2,30181,33577,48,2,5,21.0,29450,1173,7.15,0.88,0,rent,home_improvement,married,primary,2,1,0,13.2,84.9,1.1,1,0.41,0.45,0
82,35,3.7,30935,4088,36,0,1,9.1,13189,-335,5.31,0.66,0,rent,home_improvement,divorced,secondary,3,1,0,5.6,26.0,3.7,5,0.19,0.31,0
83,25,0.8,46790,2877,24,2,0,8.1,3301,128,13.11,0.56,0,own,education,married,secondary,0,1,0,17.3,88.1,3.4,1,0.33,0.53,1
84,56,2.2,79019,21908,12,0,2,34.4,1022,1232,7.14,0.25,0,mortgage,car,married,secondary,1,1,0,36.9,71.1,2.8,2,0.21,0.29,1
85,55,1.4,98553,20104,36,1,2,26.7,3701,3662,10.19,0.29,0,own,other,married,secondary,3,1,0,2.7,56.2,4.1,4,0.47,0.56,1
86,57,1.2,16293,3705,60,0,3,31.5,0,288,8.65,0.48,0,mortgage,education,married,secondary,2,0,0,6.3,43.8,2.3,3,0.13,0.55,1
87,41,0.2,10189,8640,36,3,2,17.0,17958,817,5.71,0.81,0,rent,car,single,secondary,0,1,0,23.1,57.2,5.2,7,0.2,0.75,0
88,39,5.3,15292,20941,48,0,3,9.2,3634,1959,21.91,0.81,0,rent,home_improvement,married,primary,1,1,0,13.8,87.6,1.4,4,0.09,0.12,0
89,47,22.9,60898,26080,36,1,3,27.0,7496,1338,6.57,0.23,1,own,other,single,secondary,2,1,0,3.8,69.1,1.5,6,0.53,0.3,1
90,48,1.2,14612,16884,12,2,2,21.0,10066,879,12.92,0.66,0,free,car,single,secondary,1,1,0,3.5,51.3,4.2,4,0.65,0.82,0
91,26,5.4,29969,23011,48,0,1,3.9,36777,-774,9.63,0.74,0,mortgage,education,single,secondary,1,1,0,20.6,44.9,1.5,5,0.09,0.82,0
92,37,15.7,13680,21847,12,1,3,16.7,1793,-254,14.01,0.7,0,own,home_improvement,married,secondary,2,0,0,8.5,74.3,0.9,1,0.1,0.37,0
93,36,19.8,27968,4819,12,1,3,16.4,918,1917,5.03,1.03,0,own,car,single,secondary,2,0,0,18.1,89.5,3.1,6,0.08,0.63,1
94,48,8.6,28919,10955,36,0,3,20.4,0,-1408,18.41,0.25,0,rent,furniture,divorced,secondary,1,1,0,4.6,57.3,2.1,6,0.21,0.53,1
95,42,0.2,31418,6940,60,0,4,12.5,0,-637,13.52,0.58,1,mortgage,vacation,married,tertiary,2,1,0,9.7,49.6,2.7,5,0.1,0.75,1
96,32,0.8,31381,10072,24,0,4,5.5,2817,1865,5.6,0.52,0,rent,car,single,tertiary,3,0,0,25.8,59.1,4.9,4,0.61,0.55,1
97,33,10.6,36892,26878,36,0,2,0.0,5583,265,13.84,0.73,0,own,car,single,secondary,1,1,0,5.1,68.2,3.6,2,0.23,0.59,1
98,29,0.8,25760,17122,60,1,1,9.7,965,998,8.25,0.9,0,rent,furniture,married,secondary,0,1,0,5.6,50.1,3.9,5,0.31,0.61,0
99,44,6.9,50781,11458,36,0,1,14.6,743,1191,22.11,0.83,0,rent,car,single,tertiary,1,1,0,8.2,67.0,6.3,5,0.16,0.74,1
100,33,5.1,55861,13119,12,0,1,11.7,2194,-623,22.14,0.65,0,mortgage,car,married,secondary,1,1,0,17.4,58.6,1.8,4,0.47,0.53,1
101,40,0.8,12250,5696,48,1,2,13.7,29552,2238,27.49,0.7,1,rent,business,single,secondary,0,1,0,1.1,70.2,4.4,5,0.35,0.58,0
102,42,6.4,48414,6383,12,2,1,17.5,13402,1658,8.07,0.65,0,rent,education,single,secondary,0,1,0,4.4,30.0,6.2,6,0.21,0.77,1
103,29,2.6,27144,5588,36,1,1,1.4,1700,212,9.71,0.69,0,own,vacation,married,primary,4,1,0,12.5,88.6,3.0,2,0.4,0.36,1
104,38,6.5,24838,6784,36,1,3,13.5,14022,-327,19.64,0.22,0,mortgage,other,married,primary,1,1,0,34.8,58.7,2.1,6,0.24,0.49,1
105,34,4.5,75776,8679,36,1,1,4.7,2236,-1628,8.8,0.26,0,mortgage,car,married,tertiary,1,1,0,17.9,48.2,4.4,3,0.64,0.8,1
106,39,4.3,20475,1666,24,0,1,16.6,3112,205,16.25,0.68,0,mortgage,education,married,secondary,0,1,0,6.6,65.1,2.5,6,0.22,0.73,1
107,52,1.4,30925,10780,36,1,0,21.6,1920,221,15.09,1.06,0,rent,other,widowed,tertiary,2,1,1,3.5,52.6,4.1,1,0.19,0.57,0
108,19,6.4,16016,3007,36,0,3,0.0,0,326,21.98,0.63,0,rent,business,single,tertiary,0,1,0,3.3,77.9,3.8,4,0.42,0.69,1
109,43,13.9,38009,6752,24,0,4,17.3,2917,-1576,22.09,0.51,0,mortgage,home_improvement,married,primary,1,1,0,9.4,67.0,3.2,3,0.22,0.66,1
110,45,2.3,38643,7201,24,0,3,31.3,0,2841,15.39,0.33,1,mortgage,car,married,secondary,0,1,0,15.1,83.4,4.6,6,0.15,0.42,1
111,32,2.6,25653,21601,48,0,3,3.9,2268,1904,12.68,0.94,0,own,home_improvement,married,secondary,2,1,0,12.3,74.9,3.3,4,0.3,0.76,0
112,37,8.8,15047,3387,12,2,3,17.1,0,403,21.9,1.01,0,mortgage,business,single,primary,3,1,0,15.6,67.6,3.6,3,0.22,0.58,1
113,45,1.9,92996,4181,12,0,3,22.2,0,0,23.72,0.81,0,free,business,single,secondary,3,1,1,3.8,72.1,2.8,4,0.2,0.63,1
114,27,3.6,45516,4611,48,1,3,0.0,10507,814,19.63,0.22,1,rent,business,married,secondary,2,1,0,11.3,60.1,2.1,6,0.45,0.52,1
115,45,3.7,41128,5777,36,0,4,20.1,4808,1387,11.15,0.39,1,mortgage,other,single,primary,0,1,0,10.3,69.2,3.1,4,0.24,0.81,1
116,48,2.5,20258,5828,60,0,4,18.4,3382,1213,11.76,0.61,1,mortgage,home_improvement,married,tertiary,0,1,0,20.8,72.6,1.9,5,0.36,0.2,1
117,38,9.1,5699,4208,36,0,3,12.3,35379,687,6.47,0.33,0,mortgage,car,widowed,secondary,4,0,0,12.5,80.8,1.4,5,0.38,0.16,1
118,43,3.2,17014,7179,24,2,1,23.8,13326,64,11.62,0.96,0,mortgage,furniture,single,tertiary,1,1,0,4.7,79.4,3.2,2,0.27,0.55,0
119,23,36.3,12042,5141,12,1,1,7.1,5678,1605,9.56,0.59,0,rent,furniture,married,secondary,1,1,1,40.7,43.9,4.2,4,0.4,0.46,1
120,28,19.5,73225,8369,24,0,1,12.3,0,-454,12.38,0.49,0,mortgage,medical,single,secondary,1,1,0,15.8,33.1,4.3,5,0.2,0.37,1
121,34,0.9,10368,61105,12,0,2,16.4,5357,2029,16.93,0.17,0,rent,furniture,married,secondary,0,1,0,8.6,67.8,1.5,7,0.1,0.65,0
122,32,5.4,20583,4498,24,1,7,4.5,0,1313,21.64,0.46,0,own,vacation,single,secondary,3,1,0,3.4,65.5,5.8,5,0.43,0.9,1
123,30,0.6,14300,7265,24,0,0,5.7,25369,920,6.01,0.78,0,rent,home_improvement,married,secondary,1,1,0,12.2,45.3,4.4,3,0.32,0.27,0
124,27,7.1,18644,6859,60,0,1,3.2,3769,1018,12.67,0.6,0,rent,vacation,single,tertiary,1,0,0,3.2,51.9,3.7,4,0.18,0.34,1
125,25,16.7,41414,26295,12,0,3,0.0,3907,2719,8.29,0.46,0,own,home_improvement,single,primary,1,1,0,8.1,29.4,3.1,4,0.15,0.58,1
126,36,1.0,20523,5542,24,1,0,19.5,13451,727,7.15,0.53,0,mortgage,vacation,married,secondary,0,1,0,9.0,66.8,4.8,9,0.06,0.27,1
127,56,2.5,23358,11322,60,1,1,33.7,2990,-1497,16.33,0.68,0,own,vacation,single,secondary,1,0,0,18.1,69.4,5.8,5,0.09,0.59,1
128,52,3.3,30517,13977,12,0,5,31.7,0,580,16.42,0.29,0,rent,home_improvement,married,secondary,0,1,0,10.1,72.5,3.9,5,0.41,0.45,1
129,35,2.3,15979,6655,36,2,3,12.3,2434,3935,5.32,0.37,0,mortgage,furniture,married,primary,2,1,0,1.7,60.0,2.0,3,0.15,0.41,1
130,28,4.1,23380,6914,24,3,0,0.0,1640,1106,16.84,0.35,0,rent,car,divorced,tertiary,0,1,0,13.5,90.0,3.8,3,0.1,0.59,1
131,47,1.4,50651,21373,36,0,5,21.4,6483,1107,22.64,0.8,0,mortgage,car,divorced,secondary,3,1,0,14.5,62.2,2.7,7,0.07,0.74,1
132,28,13.6,14720,12683,48,0,1,3.8,23151,654,12.09,0.52,0,own,business,married,secondary,2,1,0,10.8,82.4,2.8,4,0.46,0.51,0
133,44,19.2,24580,14020,36,0,3,13.5,6439,2010,5.68,0.37,0,own,furniture,single,secondary,1,0,0,20.1,59.6,3.7,5,0.37,0.22,1
134,41,3.9,18702,24108,36,0,4,19.8,2709,522,13.81,0.97,0,rent,vacation,married,primary,1,1,0,9.6,97.4,3.1,5,0.1,0.27,0
135,59,7.5,44165,8948,12,0,2,35.6,47791,-319,9.05,0.42,0,mortgage,furniture,single,secondary,2,1,0,14.2,70.4,5.3,2,0.02,0.38,1
136,23,7.8,40514,8931,24,1,2,0.0,6996,2297,10.04,0.65,1,own,business,married,secondary,4,1,1,6.2,58.6,2.6,2,0.24,0.46,1
137,43,5.5,45278,8876,36,1,2,22.2,7064,989,7.11,0.61,0,rent,business,married,secondary,3,1,1,11.0,50.5,5.5,2,0.32,0.89,1
138,24,30.4,43397,3350,60,0,2,0.0,1180,245,4.9,1.04,0,rent,other,married,secondary,3,1,0,26.0,54.5,2.6,2,0.06,0.31,1
139,51,6.9,43652,10388,24,0,8,29.0,13852,1737,22.19,0.51,0,own,vacation,single,secondary,1,1,0,27.9,59.2,4.9,3,0.06,0.4,1
140,35,5.7,32308,17299,36,0,2,19.6,1791,-166,8.46,0.77,0,own,business,married,tertiary,3,1,0,7.3,64.8,1.8,4,0.29,0.27,0
141,29,4.9,14660,5857,36,0,6,3.7,2306,-547,8.53,0.75,0,rent,car,single,secondary,1,1,0,21.7,72.5,2.6,1,0.35,0.21,0
142,42,5.5,50371,12630,24,0,2,15.5,1799,-31,9.1,0.86,0,own,education,single,secondary,0,1,1,23.9,39.5,2.2,5,0.57,0.47,1
143,28,6.3,38615,10657,36,0,1,4.9,9154,2984,14.08,0.8,1,rent,vacation,single,primary,0,1,0,12.6,93.0,2.1,4,0.64,0.33,1
144,31,7.6,19412,2965,12,0,4,6.8,3640,2024,11.55,0.74,1,rent,vacation,married,tertiary,0,1,0,15.6,40.6,2.0,3,0.31,0.4,1
145,50,3.7,21441,18587,24,2,1,28.0,0,1056,15.43,0.69,0,rent,furniture,married,secondary,0,1,0,24.9,58.9,4.6,7,0.47,0.39,0
146,31,3.8,29483,19119,24,1,2,3.2,0,1248,13.66,0.77,0,rent,business,single,secondary,0,1,1,14.6,65.6,6.4,4,0.3,0.46,0
147,47,18.2,27946,12287,36,1,2,29.6,5306,1701,11.42,1.07,0,rent,home_improvement,single,primary,0,1,0,4.8,73.2,3.2,1,0.28,0.55,0
148,55,0.0,80636,2242,48,1,6,23.0,4069,4120,16.42,0.26,0,rent,other,single,tertiary,0,1,0,3.6,88.0,3.2,5,0.28,0.61,1
149,53,10.0,22580,16787,36,0,0,32.3,0,1970,3.94,0.6,0,rent,education,married,secondary,1,1,0,10.0,81.3,5.0,4,0.23,0.72,0
150,46,1.9,8901,20436,36,1,3,18.5,3363,204,10.07,0.45,0,mortgage,vacation,married,primary,0,1,0,15.8,84.3,2.7,10,0.51,0.48,0
151,53,6.7,24302,17168,12,0,5,27.5,9610,3070,12.08,0.64,0,rent,car,single,tertiary,2,1,0,8.2,61.3,1.7,5,0.11,0.4,1
152,20,1.0,51315,7192,24,0,2,0.0,3909,2307,14.96,1.05,0,rent,other,widowed,primary,0,1,0,16.9,61.5,3.0,5,0.45,0.55,1
153,43,15.7,24029,6246,24,1,0,26.8,0,1980,9.34,0.44,1,mortgage,car,married,secondary,2,1,0,30.4,62.9,5.6,1,0.31,0.62,1
154,42,14.5,49961,8073,36,0,0,22.8,42995,3562,15.12,0.59,0,rent,car,married,secondary,0,1,0,13.1,70.3,3.2,6,0.23,0.2,1
155,27,2.8,27440,18061,24,0,0,0.0,0,-655,16.96,0.63,0,rent,other,single,primary,1,1,0,13.3,68.3,7.9,5,0.48,0.44,0
156,62,6.1,28919,20879,24,0,2,36.0,2225,-1543,8.83,0.41,0,mortgage,car,married,tertiary,2,1,0,33.4,68.7,1.7,7,0.04,0.42,1
157,53,17.8,46630,23155,24,0,4,26.8,6860,-19,6.57,0.47,0,own,furniture,married,primary,0,1,0,2.7,67.2,4.3,5,0.54,0.65,1
158,32,4.1,24445,8914,48,0,2,4.2,1689,-487,14.09,0.41,0,mortgage,furniture,married,secondary,0,1,1,4.8,50.2,3.0,4,0.29,0.19,1
159,44,6.4,37630,5666,36,0,3,26.1,3702,1160,13.26,0.84,0,rent,vacation,married,primary,0,1,1,9.8,72.3,3.9,1,0.11,0.53,0
160,35,1.2,34671,9303,60,0,1,11.6,809,20,18.88,0.88,0,rent,education,married,secondary,2,1,0,8.4,48.4,4.7,5,0.18,0.81,1
161,35,2.7,23895,10806,36,0,2,15.9,22404,389,7.8,0.54,0,rent,home_improvement,married,tertiary,1,1,0,37.6,66.0,4.2,2,0.69,0.64,0
162,48,7.0,13695,10873,36,1,3,28.2,0,791,11.34,0.53,0,own,vacation,single,secondary,1,1,0,10.0,60.7,1.8,3,0.44,0.81,0
163,41,0.2,25919,3740,48,0,6,17.8,10543,2585,22.93,0.64,0,mortgage,home_improvement,single,tertiary,1,1,0,11.2,62.8,6.1,4,0.57,0.59,1
164,33,4.6,19434,7416,12,3,1,5.0,11555,450,19.8,0.56,0,mortgage,car,divorced,primary,0,1,0,12.7,73.6,4.0,3,0.02,0.5,1
